Entity,Code,Year,variable,value
Afghanistan,AFG,2020,Other,0
Africa,,2020,Other,0
Albania,ALB,2020,Other,0
Algeria,DZA,2020,Other,0
Andorra,AND,2020,Other,0
Angola,AGO,2020,Other,0
Anguilla,AIA,2020,Other,0
Antarctica,ATA,2020,Other,0
Antigua and Barbuda,ATG,2020,Other,0
Argentina,ARG,2020,Other,0
Armenia,ARM,2020,Other,0
Aruba,ABW,2020,Other,0
Asia,,2020,Other,200350998
Asia (excl. China & India),,2020,Other,28812115
Australia,AUS,2020,Other,3894876
Austria,AUT,2020,Other,1162217
Azerbaijan,AZE,2020,Other,0
Bahamas,BHS,2020,Other,0
Bahrain,BHR,2020,Other,0
Bangladesh,BGD,2020,Other,0
Barbados,BRB,2020,Other,0
Belarus,BLR,2020,Other,992174
Belgium,BEL,2020,Other,1862634
Belize,BLZ,2020,Other,0
Benin,BEN,2020,Other,0
Bermuda,BMU,2020,Other,0
Bhutan,BTN,2020,Other,0
Bolivia,BOL,2020,Other,0
Bonaire Sint Eustatius and Saba,BES,2020,Other,0
Bosnia and Herzegovina,BIH,2020,Other,0
Botswana,BWA,2020,Other,0
Brazil,BRA,2020,Other,6392000
British Virgin Islands,VGB,2020,Other,0
Brunei,BRN,2020,Other,0
Bulgaria,BGR,2020,Other,1198143
Burkina Faso,BFA,2020,Other,0
Burundi,BDI,2020,Other,0
Cambodia,KHM,2020,Other,0
Cameroon,CMR,2020,Other,0
Canada,CAN,2020,Other,2094192
Cape Verde,CPV,2020,Other,0
Central African Republic,CAF,2020,Other,0
Chad,TCD,2020,Other,0
Chile,CHL,2020,Other,0
China,CHN,2020,Other,171538883
Christmas Island,CXR,2020,Other,0
Colombia,COL,2020,Other,0
Comoros,COM,2020,Other,0
Congo,COG,2020,Other,0
Cook Islands,COK,2020,Other,0
Costa Rica,CRI,2020,Other,0
Cote d'Ivoire,CIV,2020,Other,0
Croatia,HRV,2020,Other,144209
Cuba,CUB,2020,Other,0
Curacao,CUW,2020,Other,0
Cyprus,CYP,2020,Other,25176
Czechia,CZE,2020,Other,1301816
Democratic Republic of Congo,COD,2020,Other,0
Denmark,DNK,2020,Other,328252
Djibouti,DJI,2020,Other,0
Dominica,DMA,2020,Other,0
Dominican Republic,DOM,2020,Other,0
Ecuador,ECU,2020,Other,0
Egypt,EGY,2020,Other,0
El Salvador,SLV,2020,Other,0
Equatorial Guinea,GNQ,2020,Other,0
Eritrea,ERI,2020,Other,0
Estonia,EST,2020,Other,79203
Eswatini,SWZ,2020,Other,0
Ethiopia,ETH,2020,Other,0
Europe,,2020,Other,60967273
Europe (excl. EU-27),,2020,Other,24314343
Europe (excl. EU-28),,2020,Other,21006252
European Union (27),,2020,Other,36652930
European Union (28),,2020,Other,39961021
Faeroe Islands,FRO,2020,Other,0
Fiji,FJI,2020,Other,0
Finland,FIN,2020,Other,585986
France,FRA,2020,Other,4018853
French Equatorial Africa,,2020,Other,0
French Guiana,GUF,2020,Other,0
French Polynesia,PYF,2020,Other,0
French West Africa,,2020,Other,0
Gabon,GAB,2020,Other,0
Gambia,GMB,2020,Other,0
Georgia,GEO,2020,Other,0
Germany,DEU,2020,Other,8514916
Ghana,GHA,2020,Other,0
Greece,GRC,2020,Other,571265
Greenland,GRL,2020,Other,0
Grenada,GRD,2020,Other,0
Guadeloupe,GLP,2020,Other,0
Guatemala,GTM,2020,Other,0
Guinea,GIN,2020,Other,0
Guinea-Bissau,GNB,2020,Other,0
Guyana,GUY,2020,Other,0
Haiti,HTI,2020,Other,0
High-income countries,,2020,Other,87612507
Honduras,HND,2020,Other,0
Hong Kong,HKG,2020,Other,0
Hungary,HUN,2020,Other,543644
Iceland,ISL,2020,Other,6602
India,IND,2020,Other,0
Indonesia,IDN,2020,Other,0
International transport,,2020,Other,0
Iran,IRN,2020,Other,0
Iraq,IRQ,2020,Other,0
Ireland,IRL,2020,Other,508972
Israel,ISR,2020,Other,0
Italy,ITA,2020,Other,3054815
Jamaica,JAM,2020,Other,0
Japan,JPN,2020,Other,8102052
Jordan,JOR,2020,Other,0
Kazakhstan,KAZ,2020,Other,2978235
Kenya,KEN,2020,Other,0
Kiribati,KIR,2020,Other,0
Kosovo,OWID_KOS,2020,Other,0
Kuwait,KWT,2020,Other,0
Kuwaiti Oil Fires,,2020,Other,0
Kyrgyzstan,KGZ,2020,Other,0
Laos,LAO,2020,Other,0
Latvia,LVA,2020,Other,54004
Lebanon,LBN,2020,Other,0
Leeward Islands,,2020,Other,0
Lesotho,LSO,2020,Other,0
Liberia,LBR,2020,Other,0
Libya,LBY,2020,Other,0
Liechtenstein,LIE,2020,Other,0
Lithuania,LTU,2020,Other,36609
Low-income countries,,2020,Other,0
Lower-middle-income countries,,2020,Other,2697166
Luxembourg,LUX,2020,Other,78527
Macao,MAC,2020,Other,0
Madagascar,MDG,2020,Other,0
Malawi,MWI,2020,Other,0
Malaysia,MYS,2020,Other,0
Maldives,MDV,2020,Other,0
Mali,MLI,2020,Other,0
Malta,MLT,2020,Other,183
Marshall Islands,MHL,2020,Other,0
Martinique,MTQ,2020,Other,0
Mauritania,MRT,2020,Other,0
Mauritius,MUS,2020,Other,0
Mayotte,MYT,2020,Other,0
Mexico,MEX,2020,Other,0
Micronesia (country),FSM,2020,Other,0
Moldova,MDA,2020,Other,0
Mongolia,MNG,2020,Other,0
Montenegro,MNE,2020,Other,0
Montserrat,MSR,2020,Other,0
Morocco,MAR,2020,Other,0
Mozambique,MOZ,2020,Other,0
Myanmar,MMR,2020,Other,0
Namibia,NAM,2020,Other,0
Nauru,NRU,2020,Other,0
Nepal,NPL,2020,Other,0
Netherlands,NLD,2020,Other,1167328
New Caledonia,NCL,2020,Other,0
New Zealand,NZL,2020,Other,755808
Nicaragua,NIC,2020,Other,0
Niger,NER,2020,Other,0
Nigeria,NGA,2020,Other,0
Niue,NIU,2020,Other,0
North America,,2020,Other,25385071
North America (excl. USA),,2020,Other,2094192
North Korea,PRK,2020,Other,0
North Macedonia,MKD,2020,Other,0
Norway,NOR,2020,Other,383637
Oceania,,2020,Other,4650684
Oman,OMN,2020,Other,0
Pakistan,PAK,2020,Other,0
Palau,PLW,2020,Other,0
Palestine,PSE,2020,Other,0
Panama,PAN,2020,Other,0
Panama Canal Zone,,2020,Other,0
Papua New Guinea,PNG,2020,Other,0
Paraguay,PRY,2020,Other,0
Peru,PER,2020,Other,0
Philippines,PHL,2020,Other,0
Poland,POL,2020,Other,4867296
Portugal,PRT,2020,Other,906547
Puerto Rico,PRI,2020,Other,0
Qatar,QAT,2020,Other,0
Reunion,REU,2020,Other,0
Romania,ROU,2020,Other,1175876
Russia,RUS,2020,Other,16757274
Rwanda,RWA,2020,Other,0
Ryukyu Islands,,2020,Other,0
Saint Helena,SHN,2020,Other,0
Saint Kitts and Nevis,KNA,2020,Other,0
Saint Lucia,LCA,2020,Other,0
Saint Pierre and Miquelon,SPM,2020,Other,0
Saint Vincent and the Grenadines,VCT,2020,Other,0
Samoa,WSM,2020,Other,0
Sao Tome and Principe,STP,2020,Other,0
Saudi Arabia,SAU,2020,Other,0
Senegal,SEN,2020,Other,0
Serbia,SRB,2020,Other,0
Seychelles,SYC,2020,Other,0
Sierra Leone,SLE,2020,Other,0
Singapore,SGP,2020,Other,0
Sint Maarten (Dutch part),SXM,2020,Other,0
Slovakia,SVK,2020,Other,892703
Slovenia,SVN,2020,Other,105873
Solomon Islands,SLB,2020,Other,0
Somalia,SOM,2020,Other,0
South Africa,ZAF,2020,Other,0
South America,,2020,Other,6392000
South Korea,KOR,2020,Other,10303060
South Sudan,SSD,2020,Other,0
Spain,ESP,2020,Other,2942428
Sri Lanka,LKA,2020,Other,0
St. Kitts-Nevis-Anguilla,,2020,Other,0
Sudan,SDN,2020,Other,0
Suriname,SUR,2020,Other,0
Sweden,SWE,2020,Other,525455
Switzerland,CHE,2020,Other,169399
Syria,SYR,2020,Other,0
